method,backbone,source,grouping,group,n_images,n_leaf_concepts,is_h1_fixed_worst_fpr95_group,source_fpr95,group_fpr95,unadjusted_gap,unadjusted_gap_ci_low,unadjusted_gap_ci_high,source_expected_risk,group_expected_risk,source_mean_residual,group_mean_residual,adjusted_residual_gap,adjusted_gap_ci_low,adjusted_gap_ci_high,attenuation_fraction,residual_failure_persists,h1_stored_gap
mcm,ViT-B/32,inaturalist,predefined,Rosales,657,8,False,0.3396,0.2511415525114155,-0.0884584474885845,-0.1207570739147869,-0.05566541029535335,0.3395712273876163,0.35928627581424305,2.8772612383682627e-05,-0.10814472330282753,-0.1081734959152112,-0.1394809855109248,-0.07613994951972824,-0.22287355234412076,False,
mcm,ViT-B/32,inaturalist,predefined,Sapindales,973,5,False,0.3396,0.249743062692703,-0.08985693730729702,-0.11551735531357732,-0.06323939956068209,0.3395712273876163,0.3197226616246061,2.8772612383682627e-05,-0.06997959893190311,-0.0700083715442868,-0.09571393019644617,-0.04335000255238339,0.22089074430760036,False,
mcm,ViT-B/32,inaturalist,predefined,Solanales,412,3,True,0.3396,0.6286407766990292,0.28904077669902917,0.24377191825368422,0.3346043444397698,0.3395712273876163,0.34410854458917034,2.8772612383682627e-05,0.2845322321098588,0.2845034594974751,0.24123925339668795,0.32646525324701514,0.015697844620306545,True,0.2890407766990291
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_00,659,7,False,0.3396,0.40212443095599393,0.06252443095599391,0.02593905012518072,0.09836026355035021,0.3395712273876163,0.357083002300886,2.8772612383682627e-05,0.04504142865510795,0.04501265604272427,0.011718716943871336,0.07976167373629972,0.28007891708114585,True,
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_01,2723,32,False,0.3396,0.3048108703635696,-0.03478912963643044,-0.04960999792407076,-0.019615533806516365,0.3395712273876163,0.3295079588361453,2.8772612383682627e-05,-0.024697088472575734,-0.024725861084959416,-0.038888631144151066,-0.010097944264891258,0.2892647403553603,False,
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_02,1463,17,False,0.3396,0.4183185235816815,0.07871852358168147,0.05497860007022012,0.10282922340901741,0.3395712273876163,0.36411227092292386,2.8772612383682627e-05,0.05420625265875761,0.054177480046373926,0.03062410847250649,0.07811995544746705,0.31175690826877334,True,
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_03,1810,14,False,0.3396,0.34861878453038675,0.009018784530386736,-0.0107174013747102,0.028897341795789167,0.3395712273876163,0.35740266857546144,2.8772612383682627e-05,-0.00878388404507469,-0.008812656657458371,-0.02740765087759274,0.009384981213479889,1.9771446061014248,False,
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_04,817,3,False,0.3396,0.22766217870257038,-0.11193782129742963,-0.13967482812978688,-0.08418820476516403,0.3395712273876163,0.301719744923185,2.8772612383682627e-05,-0.07405756622061459,-0.07408633883299827,-0.1013642959276905,-0.045533544813728975,0.33814739313048003,False,
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_06,654,9,False,0.3396,0.28287461773700306,-0.05672538226299695,-0.08998631301280371,-0.02205215440110591,0.3395712273876163,0.3080259470190789,2.8772612383682627e-05,-0.02515132928207587,-0.02518010189445955,-0.05768296200009456,0.00768614678899599,0.5561052056429241,False,
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_07,829,11,False,0.3396,0.3039806996381182,-0.03561930036188182,-0.06580757796278952,-0.004803949771689515,0.3395712273876163,0.32191221955842847,2.8772612383682627e-05,-0.017931519920310283,-0.017960292532693965,-0.04764032647792035,0.012015180098747805,0.4957707661233497,False,
