method,backbone,source,grouping,metric,group,selected_count,selected_fraction
neglabel,ViT-B/16,sun,minilm_kmeans,fpr95,cluster_01,728,0.1456
neglabel,ViT-B/16,sun,minilm_kmeans,fpr95,cluster_02,0,0.0
neglabel,ViT-B/16,sun,minilm_kmeans,fpr95,cluster_03,0,0.0
neglabel,ViT-B/16,sun,minilm_kmeans,fpr95,cluster_04,1860,0.372
neglabel,ViT-B/16,sun,minilm_kmeans,fpr95,cluster_05,0,0.0
neglabel,ViT-B/16,sun,minilm_kmeans,fpr95,cluster_06,2412,0.4824
neglabel,ViT-B/16,sun,minilm_kmeans,auroc,cluster_00,0,0.0
neglabel,ViT-B/16,sun,minilm_kmeans,auroc,cluster_01,0,0.0
neglabel,ViT-B/16,sun,minilm_kmeans,auroc,cluster_02,0,0.0
neglabel,ViT-B/16,sun,minilm_kmeans,auroc,cluster_03,0,0.0
neglabel,ViT-B/16,sun,minilm_kmeans,auroc,cluster_04,4949,0.9898
neglabel,ViT-B/16,sun,minilm_kmeans,auroc,cluster_05,0,0.0
neglabel,ViT-B/16,sun,minilm_kmeans,auroc,cluster_06,51,0.0102
