method,source,grouping,group,n_images,n_leaf_concepts,eligible_primary,fpr95,sigma_mean,sigma_q75,sigma_q90
neglabel,inaturalist,predefined,Pinales,196,3,False,0.061224489795918366,0.07027280626354442,0.0908293720435243,0.10957290605791836
neglabel,inaturalist,predefined,Poales,295,5,True,0.04067796610169491,0.07323430278654171,0.09534774147471106,0.11667161572120599
neglabel,inaturalist,predefined,Polypodiales,197,4,False,0.01015228426395939,0.05287016947575947,0.0711622477338746,0.09419762041026813
neglabel,inaturalist,predefined,Ranunculales,191,3,False,0.020942408376963352,0.06653355589491174,0.0875968692724608,0.1101838459203936
neglabel,inaturalist,predefined,Rosales,657,8,True,0.0684931506849315,0.07283713991478365,0.096445833450465,0.12000708588419265
neglabel,inaturalist,predefined,Sapindales,973,5,True,0.02877697841726619,0.07261591219632725,0.0932674163123619,0.11740073897568319
neglabel,inaturalist,predefined,Saxifragales,72,1,False,0.041666666666666664,0.04429038178680377,0.0610852268644144,0.08544666469136082
neglabel,inaturalist,predefined,Selaginellales,27,1,False,0.037037037037037035,0.05722828572295874,0.07416580192388815,0.08570079450087868
neglabel,inaturalist,predefined,Solanales,412,3,True,0.03398058252427184,0.08293530749069551,0.10032836980258047,0.12875932724133624
neglabel,inaturalist,minilm_kmeans,cluster_00,659,7,True,0.019726858877086494,0.07387736271241187,0.0933658070629546,0.11861756893680167
neglabel,inaturalist,minilm_kmeans,cluster_01,2723,32,True,0.03672420124862284,0.06639353886157459,0.08894757665409239,0.11494940036911375
neglabel,inaturalist,minilm_kmeans,cluster_02,1463,17,True,0.060833902939166094,0.07832815252066054,0.101830465066399,0.12608676479392028
neglabel,inaturalist,minilm_kmeans,cluster_03,1810,14,True,0.01878453038674033,0.0597626845558262,0.0788286071596277,0.10441587368297281
neglabel,inaturalist,minilm_kmeans,cluster_04,817,3,True,0.0208078335373317,0.07198509559597632,0.0924021968522573,0.11750547408305291
neglabel,inaturalist,minilm_kmeans,cluster_05,144,3,False,0.013888888888888888,0.0583351090070041,0.07759555901803543,0.09788255696722678
neglabel,inaturalist,minilm_kmeans,cluster_06,654,9,True,0.045871559633027525,0.05916815339161695,0.07958086420707092,0.10350368932696427
neglabel,inaturalist,minilm_kmeans,cluster_07,829,11,True,0.05186972255729795,0.07381754611690734,0.09717775464287,0.11857256818548878
neglabel,inaturalist,minilm_kmeans,cluster_08,576,9,True,0.008680555555555556,0.05889855725556867,0.07791619229276245,0.10075480543781555
neglabel,inaturalist,minilm_kmeans,cluster_09,325,5,True,0.018461538461538463,0.0557726190350079,0.0799608090679571,0.10269249245608625
neglabel,sun,predefined,"cultural (art, education, religion, etc.)",110,1,False,0.22727272727272727,0.030797558862454742,0.040081091616480075,0.05229827737204164
neglabel,sun,predefined,"forest, field, jungle",4332,21,True,0.22460757156048014,0.07321201554281916,0.09911081556830541,0.12817164850182158
neglabel,sun,predefined,industrial and construction,91,1,False,0.2857142857142857,0.038318854422969534,0.0502116964174794,0.0707496353750608
neglabel,sun,predefined,"mountains, hills, desert, sky",1383,6,True,0.12581344902386118,0.049033943783617015,0.06476183667976475,0.08866282265499112
neglabel,sun,predefined,"transportation (roads, parking, bridges, boats, airports, etc.)",414,1,False,0.7270531400966184,0.043889204548849765,0.057833293637574196,0.09291777491443456
neglabel,sun,predefined,"water, ice, snow",3670,20,True,0.2103542234332425,0.055919469068762724,0.07516508470498015,0.10262716443663085
neglabel,sun,minilm_kmeans,cluster_00,2268,12,True,0.08994708994708994,0.06743572799561193,0.08929119430654428,0.11957543968277516
neglabel,sun,minilm_kmeans,cluster_01,2143,10,True,0.3005132991133924,0.05780917176941516,0.08010777991137955,0.1061353385989836
neglabel,sun,minilm_kmeans,cluster_02,2055,8,True,0.25985401459854013,0.07940677388600201,0.1063841438589084,0.1385908746683302
neglabel,sun,minilm_kmeans,cluster_03,528,3,True,0.20454545454545456,0.04597004326101525,0.0621785896262735,0.0831729990044629
neglabel,sun,minilm_kmeans,cluster_04,1124,6,True,0.27846975088967973,0.0465081829006225,0.06658986364748652,0.09563436687007831
neglabel,sun,minilm_kmeans,cluster_05,1244,7,True,0.23311897106109325,0.04864718161420549,0.06001585504197372,0.08389992976921753
neglabel,sun,minilm_kmeans,cluster_06,638,4,True,0.27899686520376177,0.059816683535034686,0.0833493879604603,0.11408571501829184
